league_key,league_name,season,top5_avg,top10_avg,whole_avg,source_system,source_url,as_of_date,confidence,note
LA_LIGA,Primera División (Spain),2023-24,92.6914,89.3712,85.6034,js_bundle_wayback,https://web.archive.org/web/20240628010648/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2024-06-27,high,Extracted from Jun 27 2024 Wayback bundle.js (end of 2023-24 European season); n_clubs=20
LA_LIGA,Primera División (Spain),2024-25,93.2422,89.7235,86.0733,js_bundle_wayback,https://web.archive.org/web/20250701200002/https://dataviz.theanalyst.com/opta-power-rankings/index.js,2025-07,high,Extracted from July 2025 Wayback archived JS bundle (Fm embed); n_clubs=20
LIGA_MX,Liga MX (Mexico),2022-23,79.71,77.6238,75.0775,js_bundle_wayback,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2023-08-10,high,Extracted from Aug 10 2023 Wayback bundle.js (day before 2023-24 EPL start; reflects end of 2022-23 European season); n_clubs=18
LIGA_MX,Liga MX (Mexico),2023-24,81.5016,79.249,76.1169,js_bundle_wayback,https://web.archive.org/web/20240628010648/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2024-06-27,high,Extracted from Jun 27 2024 Wayback bundle.js (end of 2023-24 European season); n_clubs=18
LIGA_MX,Liga MX (Mexico),2024-25,84.0966,81.3511,78.2393,js_bundle_wayback,https://web.archive.org/web/20250701200002/https://dataviz.theanalyst.com/opta-power-rankings/index.js,2025-07,high,Extracted from July 2025 Wayback archived JS bundle (Fm embed); n_clubs=18
LIGUE_1,Ligue 1 (France),2022-23,87.0032,84.7995,81.757,js_bundle_wayback,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2023-08-10,high,Extracted from Aug 10 2023 Wayback bundle.js (day before 2023-24 EPL start; reflects end of 2022-23 European season); n_clubs=18
LIGUE_1,Ligue 1 (France),2023-24,88.6447,86.9613,83.6421,js_bundle_wayback,https://web.archive.org/web/20240628010648/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2024-06-27,high,Extracted from Jun 27 2024 Wayback bundle.js (end of 2023-24 European season); n_clubs=18
LIGUE_1,Ligue 1 (France),2024-25,91.7804,89.1821,85.7622,js_bundle_wayback,https://web.archive.org/web/20250701200002/https://dataviz.theanalyst.com/opta-power-rankings/index.js,2025-07,high,Extracted from July 2025 Wayback archived JS bundle (Fm embed); n_clubs=18
MLS,MLS (USA/Canada),2022-23,77.5109,76.2889,73.7706,js_bundle_wayback,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2023-08-10,high,Extracted from Aug 10 2023 Wayback bundle.js (day before 2023-24 EPL start; reflects end of 2022-23 European season); n_clubs=26
MLS,MLS (USA/Canada),2023-24,79.415,77.9249,75.3732,js_bundle_wayback,https://web.archive.org/web/20240628010648/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2024-06-27,high,Extracted from Jun 27 2024 Wayback bundle.js (end of 2023-24 European season); n_clubs=26
MLS,MLS (USA/Canada),2024-25,82.1008,81.2355,78.3566,js_bundle_wayback,https://web.archive.org/web/20250701200002/https://dataviz.theanalyst.com/opta-power-rankings/index.js,2025-07,high,Extracted from July 2025 Wayback archived JS bundle (Fm embed); n_clubs=27
MOROCCAN,Botola Pro (Morocco),2022-23,74.8154,72.222,66.4452,js_bundle_wayback,https://web.archive.org/web/20230810142522/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2023-08-10,high,Extracted from Aug 10 2023 Wayback bundle.js (day before 2023-24 EPL start; reflects end of 2022-23 European season); n_clubs=32
MOROCCAN,Botola Pro (Morocco),2023-24,75.492,72.7564,65.9323,js_bundle_wayback,https://web.archive.org/web/20240628010648/https://dataviz.theanalyst.com/opta-power-rankings/bundle.js,2024-06-27,high,Extracted from Jun 27 2024 Wayback bundle.js (end of 2023-24 European season); n_clubs=32
